acousticness,analysis_url,artistPopularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,trackPopularity,track_href,type,uri,valence
0.601,https://api.spotify.com/v1/audio-analysis/4T5tKuQBjol779cYZyL9D2,57,0.536,244355,0.322,4T5tKuQBjol779cYZyL9D2,2.26e-05,7,0.113,-12.834,1,0.0621,1,135.5,4,63,https://api.spotify.com/v1/tracks/4T5tKuQBjol779cYZyL9D2,audio_features,spotify:track:4T5tKuQBjol779cYZyL9D2,0.236
0.826,https://api.spotify.com/v1/audio-analysis/0hLObGB9xRjuRVasHehmLI,64,0.675,190393,0.368,0hLObGB9xRjuRVasHehmLI,0.0016,0,0.136,-14.072,0,0.0374,1,106.001,4,69,https://api.spotify.com/v1/tracks/0hLObGB9xRjuRVasHehmLI,audio_features,spotify:track:0hLObGB9xRjuRVasHehmLI,0.176
0.379,https://api.spotify.com/v1/audio-analysis/20OrSCxQNhfAtiWtbLn3hf,74,0.569,208853,0.464,20OrSCxQNhfAtiWtbLn3hf,0.0,11,0.152,-8.27,1,0.0539,1,84.565,4,67,https://api.spotify.com/v1/tracks/20OrSCxQNhfAtiWtbLn3hf,audio_features,spotify:track:20OrSCxQNhfAtiWtbLn3hf,0.321
0.263,https://api.spotify.com/v1/audio-analysis/3GKKCjidbffsVOECWr4eHV,70,0.497,195800,0.521,3GKKCjidbffsVOECWr4eHV,0.0,7,0.12,-6.945,0,0.0354,1,147.848,4,64,https://api.spotify.com/v1/tracks/3GKKCjidbffsVOECWr4eHV,audio_features,spotify:track:3GKKCjidbffsVOECWr4eHV,0.18
0.398,https://api.spotify.com/v1/audio-analysis/0zswVEAFordAn8lbrgWsb6,64,0.579,233289,0.559,0zswVEAFordAn8lbrgWsb6,0.000206,1,0.0817,-7.338,1,0.0325,1,151.985,4,24,https://api.spotify.com/v1/tracks/0zswVEAFordAn8lbrgWsb6,audio_features,spotify:track:0zswVEAFordAn8lbrgWsb6,0.328
0.613,https://api.spotify.com/v1/audio-analysis/11r8xMuVTS66RjtYgLneRw,75,0.388,270095,0.322,11r8xMuVTS66RjtYgLneRw,0.000534,2,0.0887,-8.933,1,0.0356,1,86.739,4,47,https://api.spotify.com/v1/tracks/11r8xMuVTS66RjtYgLneRw,audio_features,spotify:track:11r8xMuVTS66RjtYgLneRw,0.454
0.381,https://api.spotify.com/v1/audio-analysis/0FfZudphGgQTGeEV6AhmOs,64,0.438,204209,0.677,0FfZudphGgQTGeEV6AhmOs,0.0686,10,0.119,-7.535,1,0.135,1,167.989,4,68,https://api.spotify.com/v1/tracks/0FfZudphGgQTGeEV6AhmOs,audio_features,spotify:track:0FfZudphGgQTGeEV6AhmOs,0.214
0.21,https://api.spotify.com/v1/audio-analysis/28cWSDq9XnuCRkWv0HBcPh,74,0.684,196800,0.382,28cWSDq9XnuCRkWv0HBcPh,0.0,5,0.141,-8.438,1,0.0342,1,77.408,4,14,https://api.spotify.com/v1/tracks/28cWSDq9XnuCRkWv0HBcPh,audio_features,spotify:track:28cWSDq9XnuCRkWv0HBcPh,0.414
0.496,https://api.spotify.com/v1/audio-analysis/0ljxKa4x3ahmDeQOrLCjJr,59,0.536,202427,0.517,0ljxKa4x3ahmDeQOrLCjJr,0.0513,1,0.38,-8.184,1,0.0462,1,85.479,4,63,https://api.spotify.com/v1/tracks/0ljxKa4x3ahmDeQOrLCjJr,audio_features,spotify:track:0ljxKa4x3ahmDeQOrLCjJr,0.229
0.658,https://api.spotify.com/v1/audio-analysis/62oCnK99vT8HOgwPsvXuiM,73,0.661,273533,0.585,62oCnK99vT8HOgwPsvXuiM,0.876,5,0.102,-11.255,1,0.0367,1,129.98,4,62,https://api.spotify.com/v1/tracks/62oCnK99vT8HOgwPsvXuiM,audio_features,spotify:track:62oCnK99vT8HOgwPsvXuiM,0.606
0.124,https://api.spotify.com/v1/audio-analysis/1NawD4ezwYuCtues1xG2Xj,47,0.547,233878,0.459,1NawD4ezwYuCtues1xG2Xj,3.47e-06,0,0.104,-10.5,0,0.0287,1,135.968,4,55,https://api.spotify.com/v1/tracks/1NawD4ezwYuCtues1xG2Xj,audio_features,spotify:track:1NawD4ezwYuCtues1xG2Xj,0.375
